Wafer_ID,Lot_Num,Wafer_Num,Date,Ox_Chamber,Ox_Type,Ox_Temp,Ox_ppm,Ox_Pressure,Ox_Time,Ox_Thickness,photo_soft_Chamber,resist_uniformity,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1_rpm,spin2_rpm,spin3_rpm,PR_amount,temp_softbake,time_softbake,litho_Chamber,CD,UV_type,Resolution,Energy_Exposure,Etching_Chamber,Etch_Drop_10_20,Etch_Drop_20_30,Etch_Drop_30_40,Etch_Total_Drop,Temp_Etching,Source_Power,Selectivity,Ion_Chamber,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,Ion_Energy,Ion_Temp,Furnace_Temp,RTA_Temp,Target,Error_type
NOLSM32513148,13,44,2025-01-05,2,dry,937.67,35.77,0.25,94,708.45,1,1.437,14.07,15.047,20.019,199.45,90.045,498.604,4043.103,5057.733,4.965,91.245,29.977,2,66.562,H,509.481,108.344,2,2056.0,2106.0,1084.0,5246.0,71.15,51.201,1.137,2,7830000000000000.0,1.31e+17,3.65e+17,3.03e+17,6e+17,32773.303,105.046,896,150,238,Edge-Loc
NOLSM32513149,13,45,2025-01-05,2,wet,1253.33,25.52,0.15,174,720.68,1,1.047,12.428,15.127,20.22,200.091,89.98,495.569,4054.042,4892.362,4.923,90.525,29.926,2,33.229,G,551.696,109.545,3,2032.0,1969.0,1340.0,5341.0,71.056,50.202,1.26,3,1.08e+16,3.69e+16,5.43e+17,2.99e+17,6e+17,31202.474,100.743,898,155,173,none
NOLSM32513150,13,46,2025-01-05,2,dry,921.13,36.38,0.11,70,711.53,1,1.143,15.643,14.933,20.073,198.703,90.105,494.639,3988.781,5005.211,4.942,92.134,29.991,3,42.066,I,512.14,108.508,1,2057.0,2105.0,1191.0,5353.0,71.019,51.623,0.9,1,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31662.121,101.165,891,149,103,none
NOLSM32513151,13,47,2025-01-05,2,dry,1106.81,37.68,0.17,87,705.96,1,1.187,16.589,14.781,20.015,199.878,89.914,498.182,3983.666,5029.116,4.889,90.82,30.0,3,55.604,H,515.792,108.333,2,2054.0,2210.0,1185.0,5449.0,71.255,51.489,0.897,2,1.34e+16,7.75e+16,4.48e+17,2.99e+17,6e+17,30785.891,103.223,880,156,174,none
NOLSM32513152,13,48,2025-01-05,2,dry,1168.34,32.77,0.14,113,702.39,1,1.538,15.593,15.116,20.069,203.921,90.041,505.85,4015.446,4993.571,4.943,93.394,30.133,3,58.574,H,492.596,108.219,3,2026.0,2067.0,1238.0,5331.0,71.196,51.335,0.902,3,1.19e+16,8.61e+16,5.08e+17,2.99e+17,6e+17,31765.471,102.365,878,156,177,none
NOLSM32513153,13,49,2025-01-05,2,wet,1144.49,31.67,0.3,106,701.75,1,1.73,16.733,15.032,20.075,196.117,89.987,502.213,3973.865,4974.753,4.962,92.853,29.834,3,46.828,I,519.997,108.39,1,2122.0,2168.0,1132.0,5422.0,71.199,49.658,1.036,1,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.296,101.776,912,155,28,none
NOLSM32513154,13,50,2025-01-05,2,dry,1121.67,39.45,0.17,50,712.05,1,1.174,18.518,14.944,20.105,204.749,90.195,502.719,4082.572,5036.127,4.991,91.217,29.816,3,43.198,I,498.878,109.609,2,2066.0,2096.0,1103.0,5265.0,71.0,51.294,0.92,2,1.66e+16,2.38e+17,1.03e+18,3e+17,6e+17,31877.947,101.737,914,155,134,none
NOLSM32513155,13,51,2025-01-05,2,wet,1264.78,32.96,0.35,112,697.02,1,0.801,16.232,15.187,20.12,197.329,90.007,502.118,4101.115,5013.179,4.856,94.291,29.786,3,39.65,I,519.08,108.418,3,2081.0,2199.0,951.0,5231.0,71.297,51.457,1.242,3,1.15e+16,1.09e+17,7.63e+17,3e+17,6e+17,30107.403,102.922,899,156,129,none
NOLSM32513156,13,52,2025-01-05,2,wet,980.6,38.1,0.18,78,705.99,1,0.704,18.55,14.96,19.984,196.767,90.019,499.358,4074.562,4974.832,4.962,94.699,29.925,3,48.877,H,512.473,109.243,1,2072.0,2276.0,1168.0,5516.0,71.394,51.344,1.095,1,9270000000000000.0,9.56e+16,4.79e+17,2.99e+17,6e+17,32048.247,102.353,903,157,78,none
NOLSM32513157,13,53,2025-01-05,2,dry,1078.16,39.94,0.21,80,707.25,1,1.676,14.274,14.751,20.148,196.646,90.049,505.811,4078.084,5011.868,5.124,91.766,30.019,3,50.924,I,522.442,110.456,2,2060.0,2016.0,1605.0,5681.0,71.559,51.552,0.944,2,1.88e+16,1.53e+16,7.91e+17,3e+17,6e+17,31221.05,104.04,879,155,60,none
NOLSM32513158,13,54,2025-01-05,2,dry,1053.93,35.51,0.16,89,716.01,1,1.059,15.872,14.975,20.033,202.187,90.007,494.907,4011.234,4985.597,5.094,94.203,30.104,3,49.218,H,508.907,108.218,3,2073.0,2183.0,1404.0,5660.0,71.585,50.423,0.944,3,7200000000000000.0,1.3e+17,5.99e+17,3e+17,6e+17,31645.037,100.628,890,157,74,none
NOLSM32513159,13,1,2025-01-05,3,dry,1198.36,26.86,0.39,120,705.1,3,1.491,14.139,15.164,19.964,200.482,90.158,503.616,4010.671,4903.493,5.014,91.896,29.921,3,41.538,I,505.423,109.656,1,2088.0,2122.0,1182.0,5392.0,72.526,52.12,1.069,1,1.5e+16,1.32e+17,6.47e+17,3.01e+17,6e+17,30795.903,103.363,854,154,141,none
NOLSM32513160,13,2,2025-01-05,1,dry,959.1,30.91,0.27,137,690.72,1,0.859,13.44,14.953,19.954,199.971,89.942,502.263,4042.587,4979.122,4.922,91.121,29.932,1,53.514,H,541.668,104.93,1,2098.0,2118.0,1248.0,5464.0,70.303,52.06,1.146,1,1.11e+16,4.37e+16,1.04e+18,3.03e+17,6e+17,32135.693,105.656,895,156,55,none
NOLSM32513161,13,3,2025-01-05,1,dry,1175.52,31.09,0.24,116,702.76,1,1.008,15.069,14.938,19.91,202.116,90.107,504.161,4025.921,5031.916,4.816,91.926,29.925,2,47.501,I,532.226,106.591,2,2076.0,2085.0,1157.0,5318.0,71.282,50.898,1.39,2,1.04e+16,1.51e+16,6.47e+17,2.98e+17,6e+17,31057.869,102.552,898,152,96,none
NOLSM32513162,13,4,2025-01-05,1,dry,927.52,31.03,0.22,143,704.13,1,0.185,19.129,14.96,19.928,194.649,89.968,502.068,4144.371,4969.317,5.113,91.466,29.95,3,32.689,G,537.547,108.782,3,2057.0,2335.0,998.0,5390.0,71.263,51.741,0.948,3,8890000000000000.0,1.02e+17,3.41e+17,3e+17,6e+17,32140.597,102.936,879,155,105,none
NOLSM32513163,13,5,2025-01-05,1,wet,1120.88,31.17,0.25,76,707.87,2,1.525,14.989,14.813,20.041,202.135,89.845,498.259,4049.785,5092.324,5.012,94.904,29.744,1,57.371,H,521.999,109.873,3,2092.0,2186.0,1232.0,5510.0,72.796,50.856,0.877,3,1.67e+16,7.88e+16,7.26e+17,3.02e+17,6e+17,31985.974,101.397,882,155,79,none
NOLSM32513164,13,6,2025-01-05,1,dry,1310.67,40.93,0.33,114,712.09,2,0.653,13.017,14.992,19.783,197.225,90.039,500.99,4030.102,4946.38,4.906,91.097,29.984,2,4.55,I,539.626,108.0,2,2043.0,2121.0,1268.0,5432.0,70.135,51.755,0.95,2,1.13e+16,8.12e+16,3.27e+17,2.99e+17,6e+17,31982.813,103.934,871,152,96,none
NOLSM32513165,13,7,2025-01-05,1,dry,933.42,30.11,0.04,116,714.55,2,0.964,17.825,14.936,19.943,202.289,89.962,502.24,4126.306,5060.409,5.12,88.45,29.95,3,59.547,I,482.818,107.145,1,2111.0,1993.0,1195.0,5299.0,70.751,50.631,1.053,1,1.13e+16,1.16e+17,9.13e+17,2.99e+17,6e+17,32499.25,102.979,916,157,115,none
NOLSM32513166,13,8,2025-01-05,1,dry,1033.46,30.35,0.2,218,700.8,3,0.273,13.408,14.808,19.964,202.518,89.951,504.088,3902.596,5113.863,5.012,92.715,29.933,1,26.823,G,526.432,105.812,1,2047.0,2209.0,917.0,5173.0,69.546,51.798,0.927,1,1.12e+16,7.2e+16,5.02e+17,3e+17,6e+17,32016.674,104.373,891,153,167,none
NOLSM32513167,13,9,2025-01-05,1,wet,1136.98,32.4,0.15,119,715.42,3,1.369,15.35,15.003,20.065,200.409,89.966,504.36,3995.147,4942.908,5.206,91.635,30.04,2,23.358,I,507.601,104.976,2,2090.0,2227.0,1459.0,5776.0,70.1,51.015,1.139,2,1.45e+16,6.48e+16,5.61e+17,3.01e+17,6e+17,31810.428,103.694,903,153,45,none
NOLSM32513168,13,10,2025-01-05,1,wet,978.28,35.06,0.15,112,687.54,3,0.751,12.115,15.076,19.884,202.965,90.046,499.552,4135.402,5111.518,5.132,92.777,30.033,3,59.944,G,509.11,106.666,3,2042.0,2018.0,1231.0,5291.0,71.744,51.786,1.089,3,1.06e+16,8.54e+16,7.99e+17,3e+17,6e+17,31969.633,102.742,883,161,168,none
NOLSM32513169,13,11,2025-01-05,2,wet,1077.35,35.36,0.18,144,722.72,1,1.499,12.831,14.933,19.726,199.33,90.086,497.897,4041.08,4982.678,5.054,90.222,30.043,1,54.003,G,492.636,110.799,3,2067.0,2098.0,1145.0,5310.0,70.159,50.719,0.907,3,1.53e+16,1.01e+17,4.94e+17,3e+17,6e+17,31419.627,103.274,862,154,156,none
NOLSM32513170,13,12,2025-01-05,2,wet,1013.45,38.21,0.16,58,721.67,1,0.831,14.065,14.858,19.927,204.418,89.966,504.756,4052.231,5036.134,4.835,94.719,30.105,2,20.489,G,547.251,110.787,2,2015.0,2220.0,1101.0,5336.0,72.665,50.758,1.146,2,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.011,104.465,892,154,112,none
NOLSM32513171,13,13,2025-01-05,2,wet,1014.36,32.8,0.2,144,708.72,1,1.313,13.204,15.195,20.0,198.814,90.084,503.144,4029.323,5156.991,4.878,90.432,29.957,3,49.757,H,511.373,105.042,1,2111.0,2123.0,1190.0,5424.0,70.756,51.009,0.996,1,1.13e+16,8.54e+16,5.4e+17,3e+17,6e+17,31201.674,103.356,902,158,68,none
NOLSM32513172,13,14,2025-01-05,2,dry,1124.58,38.26,0.16,119,702.51,2,1.794,12.997,14.809,20.075,201.496,90.04,496.113,4088.347,5019.619,4.872,93.723,29.999,1,36.531,H,511.136,107.862,1,2068.0,2129.0,920.0,5117.0,71.003,50.752,1.03,1,1.17e+16,1.1e+17,4.95e+17,3e+17,6e+17,31084.18,101.539,895,153,171,none
NOLSM32513173,13,15,2025-01-05,2,dry,1144.64,26.74,0.18,118,702.29,2,1.575,13.098,14.736,19.813,202.249,89.94,502.726,4062.097,5085.997,4.809,92.361,30.028,2,32.965,G,515.668,109.622,2,2069.0,2071.0,1291.0,5431.0,71.323,50.392,1.148,2,1.18e+16,8.54e+16,4.07e+17,3.01e+17,6e+17,32253.745,102.873,904,155,87,none
NOLSM32513174,13,16,2025-01-05,2,dry,1127.57,36.32,0.22,98,715.27,2,1.07,15.972,14.94,20.02,200.165,90.1,499.149,4088.035,5101.542,4.887,93.075,29.933,3,46.906,I,532.312,105.091,3,2058.0,2194.0,1160.0,5412.0,72.02,50.678,0.955,3,1.42e+16,8.73e+16,5.93e+17,3e+17,6e+17,31446.453,102.682,882,155,31,none
NOLSM32513175,13,17,2025-01-05,2,dry,919.21,35.7,0.28,94,708.3,3,1.311,14.175,14.983,20.138,199.258,89.947,503.568,4043.028,5057.655,4.879,91.288,30.022,1,66.337,H,509.397,108.481,3,2056.0,2106.0,1084.0,5246.0,72.132,51.446,0.964,3,7830000000000000.0,1.31e+17,3.65e+17,3.03e+17,6e+17,32773.35,105.098,896,150,238,Edge-Loc
NOLSM32513176,13,18,2025-01-05,2,wet,1238.19,25.38,0.15,174,720.59,3,1.314,12.494,14.983,19.876,199.958,89.979,505.102,4054.049,4892.431,4.754,90.684,29.926,2,33.185,G,551.583,109.65,2,2032.0,1969.0,1340.0,5341.0,72.878,50.224,1.172,2,1.08e+16,3.69e+16,5.43e+17,2.99e+17,6e+17,31202.315,100.535,898,155,173,none
NOLSM32513177,13,19,2025-01-05,2,dry,913.91,36.37,0.23,70,711.29,3,1.185,15.734,14.928,20.027,199.187,89.957,501.064,3988.708,5004.916,5.135,92.178,30.085,3,42.238,I,512.001,108.405,1,2057.0,2105.0,1191.0,5353.0,70.113,51.626,1.066,1,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31662.015,101.29,891,149,103,none
NOLSM32513178,13,20,2025-01-05,3,dry,1091.5,37.37,0.09,87,706.12,1,1.253,16.399,15.151,20.106,199.842,90.13,499.841,3983.719,5029.279,4.812,90.811,29.928,1,55.359,H,515.832,108.528,1,2054.0,2210.0,1185.0,5449.0,70.806,51.487,1.082,1,1.34e+16,7.75e+16,4.48e+17,2.99e+17,6e+17,30785.889,103.156,880,156,174,none
NOLSM32513179,13,21,2025-01-05,3,dry,1149.13,35.21,0.01,113,702.54,1,1.517,15.485,14.926,20.093,203.779,89.951,498.042,4015.401,4993.495,4.994,93.288,29.958,3,58.288,H,492.509,108.327,3,2026.0,2067.0,1238.0,5331.0,71.248,51.355,1.011,3,1.19e+16,8.61e+16,5.08e+17,2.99e+17,6e+17,31765.483,101.988,878,156,177,none
NOLSM32513180,13,22,2025-01-05,3,wet,1133.64,26.62,0.28,106,701.77,2,1.605,16.803,15.014,19.931,196.292,89.999,502.683,3973.93,4974.614,5.032,92.717,29.949,1,46.937,I,520.078,108.339,3,2122.0,2168.0,1132.0,5422.0,70.516,49.75,1.037,3,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.399,101.997,912,155,28,none
NOLSM32513181,13,23,2025-01-05,3,dry,1119.09,27.46,0.27,50,711.97,2,1.334,18.67,14.89,19.863,204.795,89.962,498.74,4082.555,5036.16,5.307,91.453,29.996,2,43.115,I,498.948,109.596,2,2066.0,2096.0,1103.0,5265.0,70.177,51.156,0.996,2,1.66e+16,2.38e+17,1.03e+18,3e+17,6e+17,31877.756,101.399,914,155,134,none
NOLSM32513182,13,24,2025-01-05,3,wet,1263.71,31.52,0.23,112,696.95,2,0.542,16.025,14.91,20.053,197.367,89.989,501.935,4101.153,5013.347,4.866,94.046,30.076,3,39.753,I,519.031,108.447,1,2081.0,2199.0,951.0,5231.0,69.973,51.275,1.05,1,1.15e+16,1.09e+17,7.63e+17,3e+17,6e+17,30107.28,102.944,899,156,129,none
NOLSM32513183,13,25,2025-01-05,3,wet,963.98,38.54,0.11,78,706.09,3,0.654,18.51,14.906,20.021,196.675,90.114,506.414,4074.38,4974.654,4.927,94.733,30.191,1,48.868,H,512.464,109.374,1,2072.0,2276.0,1168.0,5516.0,71.841,51.299,1.107,1,9270000000000000.0,9.56e+16,4.79e+17,2.99e+17,6e+17,32048.367,102.557,903,157,78,none
NOLSM32513184,13,26,2025-01-05,3,dry,1059.16,32.81,0.12,80,707.27,3,1.662,14.235,14.991,20.195,196.598,90.07,495.004,4078.042,5011.785,5.119,91.809,29.902,2,50.998,I,522.431,110.375,2,2060.0,2016.0,1605.0,5681.0,71.448,51.412,1.032,2,1.88e+16,1.53e+16,7.91e+17,3e+17,6e+17,31220.991,104.26,879,155,60,none
NOLSM32513185,13,27,2025-01-05,3,dry,1045.89,44.88,0.27,89,715.9,3,1.21,15.872,14.926,20.079,202.263,89.851,496.425,4011.323,4985.646,5.248,94.037,29.989,3,49.315,H,509.107,108.208,3,2073.0,2183.0,1404.0,5660.0,71.461,50.517,1.047,3,7200000000000000.0,1.3e+17,5.99e+17,3e+17,6e+17,31645.413,100.631,890,157,74,none
NOLSM32513186,14,28,2024-12-30,2,wet,1002.56,28.55,0.16,136,709.9,2,1.222,15.744,15.048,20.021,196.567,90.038,504.272,4114.556,5041.761,5.168,89.547,29.991,1,27.537,G,521.676,108.554,1,2037.0,2145.0,1352.0,5534.0,71.047,51.015,0.957,1,1.09e+16,1.29e+17,9.74e+17,3.03e+17,6e+17,31292.65,100.678,899,151,90,none
NOLSM32513187,14,29,2024-12-30,2,dry,1095.74,34.53,0.3,187,711.24,2,0.987,11.834,14.938,20.072,199.092,89.931,500.205,4001.212,4993.383,5.049,91.392,29.994,1,44.742,H,526.5,106.098,2,2046.0,2060.0,1250.0,5356.0,71.047,51.111,1.072,2,1.14e+16,7.25e+16,8.05e+17,2.99e+17,6e+17,32014.996,103.251,874,155,117,none
NOLSM32513188,14,30,2024-12-30,2,wet,1024.17,34.95,0.26,86,704.33,2,1.268,15.067,14.986,19.984,198.012,90.066,500.375,4054.759,4885.4,5.025,90.954,30.003,1,29.349,I,543.017,109.059,3,2059.0,2005.0,1294.0,5358.0,71.69,49.477,1.025,3,1.62e+16,8.58e+16,4.53e+17,3.01e+17,6e+17,30828.205,103.015,882,158,180,none
NOLSM32513189,14,31,2024-12-30,2,dry,1135.49,32.53,0.21,73,703.92,2,0.96,16.12,15.102,19.978,201.02,89.892,494.729,3957.034,5029.153,4.85,88.994,29.953,1,56.837,I,513.634,109.315,1,2058.0,2155.0,1195.0,5408.0,72.321,51.863,1.099,1,1.24e+16,1.5e+17,3.6e+17,2.99e+17,6e+17,32525.998,102.67,926,156,88,none
NOLSM32513190,14,32,2024-12-30,2,dry,1120.25,38.02,0.32,73,722.3,2,1.638,15.823,14.969,19.786,199.542,90.068,499.126,4087.936,4989.207,4.939,92.028,29.922,1,61.55,H,543.921,105.069,2,2082.0,2204.0,978.0,5264.0,71.463,51.549,0.861,2,1.54e+16,4.3e+16,5.93e+17,3.02e+17,6e+17,31583.928,102.498,925,156,95,none
NOLSM32513191,14,33,2024-12-30,2,wet,1210.16,33.81,0.13,160,713.68,2,1.475,12.375,14.793,19.867,202.961,89.985,501.206,4025.645,5066.849,4.836,92.587,30.17,1,26.067,I,520.922,109.08,3,2048.0,2146.0,837.0,5031.0,71.173,52.267,1.052,3,1.65e+16,1.26e+17,8.12e+17,3e+17,6e+17,31743.749,104.152,914,156,218,Edge-Loc
NOLSM32513192,14,34,2024-12-30,2,dry,1057.44,29.15,0.35,32,712.62,2,1.28,14.638,15.02,20.127,200.252,90.029,493.441,4037.152,5042.442,4.978,93.25,30.14,1,43.272,H,527.092,107.963,1,2022.0,2172.0,1020.0,5214.0,70.488,52.285,0.937,1,7240000000000000.0,1.96e+17,5.41e+17,2.96e+17,6e+17,32590.465,106.077,915,154,161,none
NOLSM32513193,14,35,2024-12-30,2,wet,1102.82,50.04,0.36,32,714.47,2,0.85,23.524,14.873,20.0,199.479,89.979,497.33,4014.226,5048.696,4.836,92.64,29.839,1,23.04,G,528.776,107.386,2,2074.0,2012.0,1168.0,5254.0,68.662,50.038,1.076,2,9910000000000000.0,6.1e+16,1.66e+17,3.02e+17,6e+17,32202.178,103.732,882,153,145,none
NOLSM32513194,14,36,2024-12-30,2,dry,1007.57,32.51,0.15,32,715.35,2,2.144,14.716,15.102,20.141,200.96,89.983,499.351,3985.755,4929.282,5.13,90.217,30.155,1,59.29,H,529.681,107.518,3,2058.0,2068.0,1165.0,5291.0,70.469,51.587,1.043,3,1.38e+16,1.09e+17,7.02e+17,3e+17,6e+17,31167.945,104.347,888,159,151,none
NOLSM32513195,14,37,2024-12-30,2,wet,1173.82,32.98,0.21,90,713.0,2,1.34,20.091,15.129,20.013,197.109,89.89,503.841,4047.431,5081.611,4.946,91.822,29.823,2,24.278,H,476.678,108.834,1,2063.0,2058.0,1167.0,5288.0,70.814,50.358,0.931,1,1.79e+16,8.57e+16,6.04e+17,3e+17,6e+17,30598.151,102.795,860,155,110,none
NOLSM32513196,14,38,2024-12-30,2,wet,1065.92,36.63,0.03,95,714.15,2,0.856,18.573,14.854,20.16,194.746,90.087,501.999,3955.414,5052.658,4.903,95.993,30.019,2,53.586,H,527.35,106.77,2,2051.0,2186.0,1104.0,5341.0,70.222,52.288,0.958,2,1.07e+16,9.57e+16,2.49e+17,3.01e+17,6e+17,32095.814,103.303,902,155,93,none
NOLSM32513197,14,39,2024-12-30,2,dry,1123.03,30.02,0.05,115,710.07,2,0.456,15.875,14.939,20.074,201.069,90.031,499.439,4062.517,4922.259,5.126,94.192,29.797,2,33.887,G,527.374,105.471,3,2050.0,2044.0,1412.0,5506.0,70.74,51.883,1.048,3,1.44e+16,5.22e+16,9.28e+17,2.99e+17,6e+17,31074.302,101.463,893,155,76,none
NOLSM32513198,14,40,2024-12-30,2,wet,1106.36,45.7,0.04,56,710.52,2,1.821,17.291,15.172,20.097,198.352,90.046,500.613,4071.749,4978.119,5.163,96.082,30.11,2,48.801,H,500.968,106.786,1,2060.0,2217.0,976.0,5253.0,69.194,50.865,0.951,1,1e+16,1.31e+17,6.99e+17,3e+17,6e+17,31732.595,104.228,912,153,65,none
